idx,iso,pass_rate,passed,inScope,failed,todo
0,2026-01-26T21:37:24,81.7,434,531,13,73
1,2026-01-26T22:14:47,80.6,428,531,11,73
2,2026-01-26T23:32:41,80.7,430,533,7,74
3,2026-01-27T00:20:17,80.3,428,533,9,74
4,2026-01-27T00:52:15,81.1,432,533,5,74
5,2026-01-27T01:38:57,81.5,435,534,4,74
6,2026-01-27T03:24:38,81.1,433,534,6,74
7,2026-01-27T11:19:35,81.8,437,534,2,74
8,2026-01-27T12:28:54,82.3,441,536,2,73
9,2026-01-27T13:39:19,75.4,404,536,39,72
10,2026-01-27T14:16:39,80.8,433,536,8,72
11,2026-01-27T14:29:54,80.0,429,536,12,72
12,2026-01-27T14:53:49,78.9,423,536,21,72
13,2026-01-27T15:22:52,82.6,443,536,1,72
14,2026-01-27T17:10:57,81.5,437,536,7,72
15,2026-01-27T18:18:27,82.3,441,536,3,72
16,2026-01-27T19:49:12,80.5,434,539,13,72
17,2026-01-27T20:28:10,81.6,440,539,3,72
18,2026-01-27T20:49:32,82.4,444,539,3,72
19,2026-01-28T03:57:20,82.4,444,539,3,72
20,2026-01-28T13:38:27,74.6,402,539,45,72
21,2026-01-28T14:18:51,81.8,441,539,6,72
22,2026-01-28T14:39:50,82.2,443,539,4,72
23,2026-01-28T15:36:58,4.1,22,539,425,72
24,2026-01-28T18:43:45,74.0,399,539,48,72
25,2026-01-29T14:43:29,80.4,434,540,14,72
26,2026-01-29T15:02:14,82.2,444,540,4,72
27,2026-01-29T16:40:51,82.2,447,544,4,73
28,2026-01-30T01:29:47,82.2,447,544,4,73
29,2026-01-30T02:16:32,82.0,446,544,5,73
30,2026-01-30T02:30:19,82.2,447,544,4,73
31,2026-01-30T09:57:19,82.2,447,544,4,73
32,2026-01-30T13:37:57,82.0,446,544,5,73
33,2026-01-30T15:20:46,81.8,446,545,6,73
34,2026-01-30T15:37:34,82.2,448,545,4,73
35,2026-01-30T17:31:35,82.3,450,547,4,73
36,2026-01-31T00:27:31,82.3,450,547,4,73
37,2026-01-31T01:23:19,82.3,450,547,4,73
38,2026-01-31T01:52:28,82.3,450,547,4,73
39,2026-01-31T12:57:41,82.6,464,562,4,73
40,2026-01-31T14:28:52,82.7,469,567,4,73
41,2026-02-01T14:08:19,82.6,471,570,5,73
42,2026-02-02T15:51:56,82.8,473,571,4,73
43,2026-02-02T16:43:04,82.9,474,572,4,73
44,2026-02-02T20:35:07,82.9,474,572,4,73
45,2026-02-03T12:01:11,82.9,474,572,4,73
46,2026-02-03T17:05:14,83.0,475,572,0,76
47,2026-02-03T18:18:08,83.2,476,572,0,75
48,2026-02-03T20:34:45,83.3,478,574,0,75
49,2026-02-04T15:56:48,83.3,478,574,0,75
50,2026-02-04T18:04:00,83.3,478,574,0,75
51,2026-02-04T18:54:05,83.1,478,575,1,75
52,2026-02-04T19:09:45,83.1,478,575,1,75
53,2026-02-04T19:49:13,83.1,478,575,1,75
54,2026-02-04T23:03:43,82.1,472,575,7,75
55,2026-02-04T23:46:48,75.0,431,575,48,75
56,2026-02-05T00:46:55,83.3,479,575,0,75
57,2026-02-05T21:50:14,83.3,479,575,0,75
58,2026-02-05T22:18:07,83.3,479,575,0,75
59,2026-02-06T18:24:45,81.4,468,575,11,75
60,2026-02-06T18:42:11,83.3,479,575,0,75
61,2026-02-06T23:29:12,83.4,481,577,0,75
62,2026-02-07T02:03:54,83.2,481,578,1,75
63,2026-02-07T02:23:23,83.4,482,578,0,75
64,2026-02-07T18:36:32,75.1,434,578,48,75
65,2026-02-07T20:40:27,83.4,482,578,0,75
66,2026-02-07T21:12:30,83.0,480,578,2,75
67,2026-02-08T13:41:48,82.0,461,562,13,67
68,2026-02-08T14:15:13,83.4,466,559,5,67
69,2026-02-08T14:39:16,84.3,471,559,1,67
70,2026-02-08T18:03:11,84.1,470,559,2,67
71,2026-02-09T14:35:55,84.1,470,559,2,67
72,2026-02-09T14:49:50,84.3,471,559,1,67
73,2026-02-09T16:53:40,84.1,470,559,2,67
74,2026-02-09T17:26:21,84.3,471,559,1,67
75,2026-02-09T18:28:27,84.3,472,560,1,67
76,2026-02-09T19:12:27,84.3,472,560,1,67
77,2026-02-09T22:50:54,84.3,472,560,1,67
78,2026-02-09T23:23:38,84.3,472,560,1,67
79,2026-02-10T10:44:46,84.3,472,560,1,67
80,2026-02-10T13:35:49,84.3,473,561,1,67
81,2026-02-11T08:13:04,84.5,475,562,1,66
82,2026-02-11T09:13:47,85.4,480,562,1,61
83,2026-02-11T09:50:23,85.8,482,562,1,59
84,2026-02-11T10:32:05,85.8,482,562,1,59
85,2026-02-11T11:51:10,85.8,482,562,1,59
86,2026-02-11T14:40:08,85.8,482,562,1,59
87,2026-02-11T15:52:38,85.8,485,565,1,59
88,2026-02-11T16:44:53,86.0,486,565,0,59
89,2026-02-11T18:21:04,86.0,486,565,0,59
90,2026-02-11T21:31:05,86.0,486,565,0,59
91,2026-02-12T17:03:48,70.8,400,565,86,59
92,2026-02-12T17:41:28,78.1,441,565,45,59
93,2026-02-12T18:38:55,84.8,479,565,7,59
94,2026-02-12T19:32:24,86.0,486,565,0,59
95,2026-02-12T22:05:02,84.1,475,565,11,59
96,2026-02-12T22:38:24,85.5,483,565,3,59
97,2026-02-12T23:03:05,86.0,486,565,0,59
98,2026-02-12T23:44:56,86.0,486,565,0,59
99,2026-02-13T00:05:11,86.0,486,565,0,59
100,2026-02-13T01:23:26,86.0,486,565,0,59
101,2026-02-13T01:44:40,86.0,486,565,0,59
102,2026-02-13T03:43:17,86.2,487,565,0,58
103,2026-02-13T07:15:11,86.2,487,565,0,58
104,2026-02-13T22:08:40,86.2,487,565,0,58
105,2026-02-13T23:34:36,81.9,463,565,24,58
106,2026-02-14T00:41:47,86.2,487,565,0,58
107,2026-02-14T10:17:57,86.2,487,565,0,58
108,2026-02-15T01:58:23,86.2,487,565,0,58
109,2026-02-15T05:35:55,82.7,468,566,20,58
110,2026-02-15T05:58:59,86.2,488,566,0,58
111,2026-02-15T09:30:21,86.2,489,567,0,58
112,2026-02-15T19:30:15,86.2,489,567,0,58
113,2026-02-15T22:36:02,85.7,487,568,3,58
114,2026-02-15T23:52:35,85.9,488,568,2,58
115,2026-02-16T07:35:11,85.9,488,568,2,58
116,2026-02-16T07:50:52,85.9,488,568,2,58
117,2026-02-16T08:37:08,86.3,490,568,0,58
118,2026-02-16T09:42:00,86.3,490,568,0,58
119,2026-02-17T00:01:47,86.3,490,568,0,58
120,2026-02-18T13:16:29,86.7,489,564,1,54
121,2026-02-18T13:57:25,86.9,490,564,0,54
122,2026-02-19T00:24:06,86.9,491,565,0,54
123,2026-02-19T01:34:19,86.0,487,566,5,54
124,2026-02-19T01:53:32,86.9,492,566,0,54
125,2026-02-19T02:43:40,86.9,493,567,0,54
126,2026-02-19T09:49:01,87.0,495,569,0,54
127,2026-02-19T10:16:45,87.0,495,569,1,53
128,2026-02-19T10:41:41,87.3,497,569,0,52
129,2026-02-19T11:23:27,87.7,499,569,0,50
130,2026-02-19T12:13:40,87.7,499,569,1,49
131,2026-02-19T12:51:18,87.9,500,569,0,49
132,2026-02-19T20:52:50,87.9,500,569,0,49
133,2026-02-20T06:29:58,87.9,501,570,0,49
134,2026-02-21T02:09:22,87.7,499,569,2,48
135,2026-02-21T03:36:57,88.1,502,570,0,48
136,2026-02-21T04:15:35,88.1,503,571,0,48
137,2026-02-21T04:59:15,88.1,504,572,0,48
138,2026-02-21T10:40:01,88.1,505,573,0,48
139,2026-02-21T11:43:54,88.1,505,573,0,48
140,2026-02-22T07:04:11,88.0,504,573,1,48
141,2026-02-24T04:08:12,88.0,504,573,1,48
142,2026-02-24T05:21:26,88.2,506,574,0,48
143,2026-03-02T08:36:08,88.2,507,575,0,48
144,2026-03-02T20:22:34,87.9,507,577,2,48
145,2026-03-02T21:29:47,87.4,505,578,4,49
146,2026-03-02T22:19:16,87.9,508,578,1,49
147,2026-03-02T23:11:22,87.6,508,580,1,51
148,2026-03-12T23:46:30,87.2,510,585,5,50
149,2026-03-13T02:42:16,85.8,501,584,13,50
150,2026-03-13T10:58:05,81.7,477,584,37,50
151,2026-03-13T11:22:22,87.0,508,584,6,50
152,2026-03-13T11:35:14,87.3,510,584,4,50
153,2026-03-13T14:47:06,87.3,510,584,4,50
154,2026-03-14T00:03:35,87.9,518,589,1,50
155,2026-03-19T12:16:41,86.9,512,589,5,50
156,2026-03-19T13:06:49,87.8,517,589,2,50
157,2026-03-19T13:38:17,87.9,518,589,1,50
158,2026-03-19T14:31:09,87.9,518,589,1,50
159,2026-03-19T14:58:20,87.9,518,589,1,50
160,2026-03-19T16:06:07,87.9,518,589,1,50
161,2026-03-19T17:26:30,87.9,518,589,1,50
162,2026-03-20T11:16:58,88.0,520,591,1,50
163,2026-03-20T15:52:02,88.0,522,593,1,50
164,2026-03-20T23:42:51,88.1,526,597,1,50
165,2026-03-21T00:13:49,88.1,526,597,1,50
166,2026-03-25T14:03:37,88.1,527,598,1,50
167,2026-03-29T15:06:03,88.4,543,614,1,50
168,2026-03-29T16:46:54,88.5,546,617,1,50
169,2026-03-30T15:39:25,88.1,547,621,4,50
170,2026-03-31T00:40:34,88.2,547,620,3,50
171,2026-03-31T02:23:00,87.1,542,622,9,51
172,2026-03-31T02:48:01,87.0,542,623,9,52
173,2026-03-31T08:30:59,87.0,542,623,9,52
174,2026-03-31T19:37:42,87.0,542,623,9,52
175,2026-03-31T20:35:43,87.8,547,623,4,52
176,2026-03-31T20:49:17,88.0,548,623,3,52
177,2026-03-31T21:44:05,88.1,549,623,3,51
178,2026-04-01T00:00:05,88.1,550,624,3,51
179,2026-04-01T16:18:00,88.2,551,625,3,51
180,2026-04-01T18:39:51,88.2,552,626,3,51
181,2026-04-01T20:17:30,88.2,553,627,3,51
182,2026-04-02T02:24:31,7.8,49,627,507,51
183,2026-04-02T03:02:49,88.0,552,627,4,51
184,2026-04-02T03:41:47,88.2,553,627,3,51
185,2026-04-03T21:34:59,87.3,549,629,9,51
186,2026-04-03T22:45:50,88.1,554,629,4,51
187,2026-04-03T23:15:38,88.2,555,629,3,51
188,2026-04-07T23:42:35,88.2,555,629,3,51
189,2026-04-08T00:05:22,88.2,555,629,3,51
190,2026-04-08T00:33:49,88.2,555,629,3,51
191,2026-04-08T20:16:22,88.4,556,629,3,50
192,2026-04-09T22:07:58,88.4,557,630,3,50
193,2026-04-09T22:59:43,88.3,559,633,4,50
194,2026-04-10T17:54:13,88.3,559,633,4,50
195,2026-04-10T18:43:42,88.5,560,633,3,50
196,2026-04-10T19:36:25,88.5,561,634,3,50
197,2026-04-10T20:00:47,88.5,562,635,3,50
198,2026-04-14T11:54:30,6.1,39,637,528,50
199,2026-04-14T12:50:00,36.6,233,637,334,50
200,2026-04-14T13:43:57,57.8,368,637,199,50
201,2026-04-16T20:36:16,59.7,380,637,187,50
202,2026-04-17T10:56:33,65.3,416,637,151,50
203,2026-04-17T13:56:38,71.6,456,637,111,50
204,2026-04-17T14:40:13,74.4,474,637,93,50
205,2026-04-17T15:01:49,75.4,480,637,87,50
206,2026-04-18T14:35:17,76.5,487,637,80,50
207,2026-04-18T16:05:13,78.2,498,637,68,50
208,2026-04-18T16:15:32,78.2,498,637,69,50
209,2026-04-18T21:24:38,79.1,504,637,63,50
210,2026-04-18T22:15:12,82.1,523,637,44,50
211,2026-04-18T23:41:54,82.1,524,638,44,50
212,2026-04-19T17:06:07,82.1,524,638,44,50
213,2026-04-19T17:38:02,82.1,524,638,44,50
214,2026-04-21T22:17:37,82.1,524,638,44,50
215,2026-04-21T22:48:30,82.8,528,638,40,50
216,2026-04-21T23:45:05,71.9,459,638,109,50
217,2026-04-24T17:02:20,89.4,522,584,46,50
218,2026-04-25T11:15:40,89.6,524,585,45,50
219,2026-04-25T14:21:01,89.2,523,586,47,49
220,2026-04-27T13:15:19,87.9,515,586,55,49
221,2026-04-27T13:36:56,89.2,523,586,47,49
222,2026-04-27T13:50:31,89.2,523,586,47,49
223,2026-04-27T14:05:59,89.2,523,586,47,49
224,2026-04-27T14:16:45,89.2,523,586,47,49
225,2026-04-27T17:20:11,89.2,523,586,47,49
226,2026-05-02T22:35:30,90.1,528,586,42,49
